127.0.0.1, 2013-12-23 00:09:25, GET, /, HTTP/1.1, 303, 0.001877
127.0.0.1, 2013-12-23 00:09:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.371172
127.0.0.1, 2013-12-23 00:09:39, POST, /welcome/default/index, HTTP/1.1, 200, 0.075524
127.0.0.1, 2013-12-23 00:10:52, POST, /welcome/default/index, HTTP/1.1, 200, 0.024522
127.0.0.1, 2013-12-23 00:11:13, POST, /welcome/default/index, HTTP/1.1, 200, 0.025322
127.0.0.1, 2013-12-23 00:11:57, POST, /welcome/default/index, HTTP/1.1, 200, 0.018177
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001446
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001163
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000855
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.003361
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.002920
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.004717
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000524
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002580
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001254
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000625
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002518
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001560
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000585
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000532
127.0.0.1, 2013-12-23 00:11:57, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000956
127.0.0.1, 2013-12-23 00:12:27, POST, /welcome/default/index, HTTP/1.1, 200, 0.018915
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001399
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002174
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001167
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.003684
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000519
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002347
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000569
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000468
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000442
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000417
127.0.0.1, 2013-12-23 00:12:27, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000621
